[2024-08-26 23:17:19,435: INFO: main: welcome to our custom log]
[2024-08-26 23:19:20,270: INFO: main: welcome to our custom log]
[2024-08-29 07:41:36,344: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-29 07:41:36,377: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-29 07:41:36,384: INFO: common: created directory at: artifacts]
[2024-08-29 07:41:36,390: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-29 07:43:03,495: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-29 07:43:03,498: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-29 07:43:03,500: INFO: common: created directory at: artifacts]
[2024-08-29 07:43:03,503: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-29 07:43:03,505: INFO: 3398215002: Downloading data from https://drive.google.com/file/d/1ARkV6dRr9Nx9GiEkbrjSzphvEo1nyRYm/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-29 07:43:05,219: INFO: 3398215002: Downloaded data from https://drive.google.com/file/d/1ARkV6dRr9Nx9GiEkbrjSzphvEo1nyRYm/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-29 07:43:55,073: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-29 07:43:55,076: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-29 07:43:55,078: INFO: common: created directory at: artifacts]
[2024-08-29 07:43:55,081: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-29 07:43:55,083: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1ARkV6dRr9Nx9GiEkbrjSzphvEo1nyRYm/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-29 07:44:40,226: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1ARkV6dRr9Nx9GiEkbrjSzphvEo1nyRYm/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-29 08:27:27,379: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-08-29 08:27:27,384: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-29 08:27:27,386: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-29 08:27:27,387: INFO: common: created directory at: artifacts]
[2024-08-29 08:27:27,389: INFO: common: created directory at: artifacts/data_ingestion]
[2024-08-29 08:27:27,390: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1ARkV6dRr9Nx9GiEkbrjSzphvEo1nyRYm/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-29 08:28:07,282: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1ARkV6dRr9Nx9GiEkbrjSzphvEo1nyRYm/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-08-29 08:28:08,207: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
